"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2019","AQS","350130021","1","35","ppb","33","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/02/2019","AQS","350130021","1","11","ppb","10","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/03/2019","AQS","350130021","1","19","ppb","18","6ZM Desert View","23","96.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/04/2019","AQS","350130021","1","23","ppb","22","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/05/2019","AQS","350130021","1","33","ppb","31","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/06/2019","AQS","350130021","1","38","ppb","36","6ZM Desert View","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/07/2019","AQS","350130021","1","13","ppb","12","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/08/2019","AQS","350130021","1","19","ppb","18","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/09/2019","AQS","350130021","1","26","ppb","25","6ZM Desert View","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/10/2019","AQS","350130021","1","20","ppb","19","6ZM Desert View","21","88.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/11/2019","AQS","350130021","1","7","ppb","7","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/12/2019","AQS","350130021","1","20","ppb","19","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/13/2019","AQS","350130021","1","13","ppb","12","6ZM Desert View","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/14/2019","AQS","350130021","1","37","ppb","35","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/15/2019","AQS","350130021","1","36","ppb","34","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/16/2019","AQS","350130021","1","25","ppb","24","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/17/2019","AQS","350130021","1","17","ppb","16","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/18/2019","AQS","350130021","1","11","ppb","10","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/19/2019","AQS","350130021","1","20","ppb","19","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/20/2019","AQS","350130021","1","35","ppb","33","6ZM Desert View","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/21/2019","AQS","350130021","1","34","ppb","32","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/22/2019","AQS","350130021","1","11","ppb","10","6ZM Desert View","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/23/2019","AQS","350130021","1","27","ppb","25","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/24/2019","AQS","350130021","1","32","ppb","30","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/25/2019","AQS","350130021","1","40","ppb","38","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/26/2019","AQS","350130021","1","30","ppb","28","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/27/2019","AQS","350130021","1","20","ppb","19","6ZM Desert View","22","92.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/28/2019","AQS","350130021","1","43","ppb","41","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/29/2019","AQS","350130021","1","33","ppb","31","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/30/2019","AQS","350130021","1","49","ppb","46","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"01/31/2019","AQS","350130021","1","30","ppb","28","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"02/01/2019","AQS","350130021","1","26","ppb","25","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
"02/02/2019","AQS","350130021","1","16","ppb","15","6ZM Desert View","24","100.0000","42602","Nitrogen dioxide (NO2)","074","29740","Las Cruces, NM","35","New Mexico","013","Dona Ana","31.796218122","-106.584433773"
