"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2020","AQS","481410044","1","33.4","ppb","31","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/02/2020","AQS","481410044","1","34.6","ppb","32","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/03/2020","AQS","481410044","1","41.1","ppb","39","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/04/2020","AQS","481410044","1","42.5","ppb","40","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/05/2020","AQS","481410044","1","51.2","ppb","48","El Paso Chamizal","22","92.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/06/2020","AQS","481410044","1","34.6","ppb","32","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/07/2020","AQS","481410044","1","46.4","ppb","43","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/08/2020","AQS","481410044","1","41.2","ppb","39","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/09/2020","AQS","481410044","1","39.4","ppb","37","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/10/2020","AQS","481410044","1","20.2","ppb","19","El Paso Chamizal","18","75.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/15/2020","AQS","481410044","1","68.6","ppb","66","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/16/2020","AQS","481410044","1","33.9","ppb","31","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/17/2020","AQS","481410044","1","35","ppb","33","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/18/2020","AQS","481410044","1","30.2","ppb","28","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/22/2020","AQS","481410044","1","15","ppb","14","El Paso Chamizal","18","75.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
"01/23/2020","AQS","481410044","1","43","ppb","41","El Paso Chamizal","24","100.0000","42602","Nitrogen dioxide (NO2)","099","21340","El Paso, TX","48","Texas","141","El Paso","31.765685","-106.455227"
