author_match_flag,site_id,mpa_name,year,sample_event,treatment_zone,lat,lon,dist_to_deep_water,ssta_freq,reef_exposure,x3a_exposure_exposed_and_semi_exposed,x3b_exposure_semi_exposed_and_sheltered,reef_slope,x4a_slope_flat_and_slope,x4b_slope_wall_and_slope,reef_type,x5a_type_patch_and_fringing,x5b_type_fringing_and_barrier,x5c_type_barrier_and_atoll,dist_mangroves,dist_fish_settl,dist_market,pollution_risk,monsoon_direction,biomass_ecological,biomass_fisheries,treated_mpa
dropped,D009,Dampier,2014,RH0487,USE,-0.78,131.03,1787.916031,28,Exposed,1,0,Flat,1,0,Patch,1,0,0,12348.67031,14932.2,26317.6231,Low,NW,676.8630849,125.0294503,MPA site
dropped,D023,Dampier,2014,RH0468,NTZ,-0.71,130.64,0,25,Exposed,1,0,Flat,1,0,Patch,1,0,0,7582.531224,13923.72871,70095.76369,Low,SE,156.8417314,40.35803135,MPA site
dropped,D025,Dampier,2014,RH0467,NTZ,-0.69,130.79,869.344577,30,Exposed,1,0,Flat,1,0,Patch,1,0,0,7845.555702,20091.21,54827.96964,Low,NW,581.2263526,438.8949254,MPA site
dropped,D036,Dampier,2014,RH0427,NTZ,-0.53,130.72,970.345352,26,Exposed,1,0,Flat,1,0,Patch,1,0,0,3659.191452,7148.755667,69792.66302,Low,NW,4677.919516,2320.733141,MPA site
dropped,D0B3,Dampier,2014,RH0434,NTZ,-0.547986,130.498656,0,21,Exposed,1,0,Slope,1,1,Patch,1,0,0,4145.69,8847.24,92513.92,Low,NW,59.25236269,19.44574434,MPA site
matched,D002,Dampier,2014,RH0482,USE,-0.82,130.91,0,30,Exposed,1,0,Flat,1,0,Fringing,1,1,0,1554.02,2983.5,38209.92127,Medium,NW,692.6841105,9.855138408,MPA site
matched,D004,Dampier,2014,RH0483,USE,-0.9,130.83,18.761183,36,Exposed,1,0,Slope,1,1,Fringing,1,1,0,293.817338,9626.652472,46902.22514,Medium,NW,887.1363554,57.41705292,MPA site
matched,D005,Dampier,2014,RH0470,USE,-0.79,130.64,0,30,Exposed,1,0,Flat,1,0,Fringing,1,1,0,260.357325,22660.49,68442.3717,Medium,SE,108.1706946,47.28252183,MPA site
matched,D006,Dampier,2014,RH0472,NTZ,-0.83,130.44,0,24,Exposed,1,0,Flat,1,0,Fringing,1,1,0,5232.18,23872.83445,96496.78,Medium,SE,1210.700229,61.81846229,MPA site
matched,D010,Dampier,2014,RH0469,USE,-0.75,130.76,75.356767,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1557.598873,23177.47,56066.93014,Low,NW,90.64655451,5.738203644,MPA site
matched,D012,Dampier,2014,RH0429,NTZ,-0.55,130.7,811.208374,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,540.431955,5651.71,70559.83883,Low,NW,1629.966456,396.3776345,MPA site
matched,D019,Dampier,2014,RH0473,USE,-0.79,130.58,0,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1615.490606,22396.46,75073.52962,Medium,SE,208.4464953,24.69116665,MPA site
matched,D021,Dampier,2014,RH0428,USE,-0.5,130.73,1997.204226,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,4867.901159,5371.028336,70705.36855,Medium,NW,233.8272972,2481.10794,MPA site
matched,D022,Dampier,2014,RH0485,NTZ,-0.76,130.91,2163.626882,30,Exposed,1,0,Flat,1,0,Fringing,1,1,0,2102.872045,8216.27,39661.75162,Low,NW,74.83259595,7.935834478,MPA site
matched,D024,Dampier,2014,RH0481,USE,-0.93,130.64,0,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,2795.28702,4367.49,68265.77708,Low,SE,189.7832335,161.7934322,MPA site
matched,D026,Dampier,2014,RH0466,NTZ,-0.69,130.71,243.970103,23,Exposed,1,0,Slope,1,1,Fringing,1,1,0,728.649332,14591.65097,63226.22006,Low,SE,1691.96833,202.9087891,MPA site
matched,D028,Dampier,2014,RH0471,USE,-0.77,130.68,319.846639,31,Exposed,1,0,Slope,1,1,Fringing,1,1,0,3215.076666,22414.36,64358.65443,Medium,SE,578.9230382,54.58822533,MPA site
matched,D031,Dampier,2014,RH0424,USE,-0.47,130.79,1875.949363,21,Exposed,1,0,Slope,1,1,Fringing,1,1,0,506.880872,5995.958762,67460.53731,Medium,NW,291.1283983,569.4178542,MPA site
matched,D034,Dampier,2014,RH0426,USE,-0.44,130.73,398.753595,2,Exposed,1,0,Flat,1,0,Fringing,1,1,0,5193.10963,244.640808,74712.87393,Medium,NW,337.3913316,28.59195395,MPA site
matched,D037,Dampier,2014,RH0478,USE,-0.88,130.74,227.021944,32,Exposed,1,0,Slope,1,1,Fringing,1,1,0,197.376248,11252.01377,56796.82968,Medium,NW,193.1794856,16.38432614,MPA site
matched,D038,Dampier,2014,RH0475,NTZ,-0.79,130.51,0,23,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1100.730096,24367.20927,82819.24829,Low,SE,165.5564053,55.28076169,MPA site
matched,D039,Dampier,2014,RH0430,NTZ,-0.56,130.68,152.325556,24,Exposed,1,0,Slope,1,1,Fringing,1,1,0,0,3003.638097,71971.8646,Low,NW,132.1760193,53.62247201,MPA site
matched,D040,Dampier,2014,RH0433,USE,-0.61,130.58,0,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,2958.04,3297.407135,79822.20239,Low,NW,1446.833489,284.6702929,MPA site
matched,D041,Dampier,2014,RH0431,USE,-0.66,130.61,858.92772,26,Exposed,1,0,Flat,1,0,Fringing,1,1,0,7913.645067,7787.951487,74838.32779,Low,NW,169.7144139,43.36198384,MPA site
matched,D046,Dampier,2014,RH0480,USE,-0.85,130.88,803.306442,17,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1345.270319,1796.836811,41237.11898,Medium,NW,69.79702933,22.84310458,MPA site
matched,D048,Dampier,2014,RH0474,NTZ,-0.92,130.37,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,6623.53,28844.24105,98135.69256,Low,SE,667.6158745,29.83296072,MPA site
matched,D0B1,Dampier,2014,RH0435,NTZ,-0.576784,130.54345,0,23,Exposed,1,0,Slope,1,1,Fringing,1,1,0,3225.13,6908.17,87526.42,Low,NW,434.8538856,1.810583846,MPA site
matched,R4031,Dampier,2012,RH0369,USE,-0.49,130.35,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,387.90697,15017.4,108519.3573,Low,SE,150.1243911,26.59010489,MPA site
matched,R002,Raja Ampat,2011,RH0265,USE,-0.35,130.39,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,61.566689,4815.453278,118615.12,Low,NW,280.1122351,21.53798908,MPA site
